Date,Open,High,Low,Close,Volume,Trade
2012-08-17,2318.43,2322.89,2295.16,2313.48,260657.18,2862996.68
2012-08-20,2294.90,2307.41,2279.95,2301.79,274020.33,2717481.78
2012-08-21,2301.93,2327.38,2296.55,2313.70,348950.99,3475786.96
2012-08-22,2315.14,2317.37,2285.76,2295.59,317084.11,3154751.90
2012-08-23,2298.18,2311.65,2285.37,2302.20,313353.42,3378960.38
2012-08-24,2295.68,2299.30,2274.57,2275.68,318695.91,3298633.73
2012-08-27,2268.49,2268.49,2228.15,2228.20,373861.91,3538415.62
2012-08-28,2226.90,2250.60,2222.00,2238.41,337736.14,3033107.66
2012-08-29,2230.20,2240.11,2214.43,2214.81,290106.47,2739618.61
2012-08-30,2204.51,2223.20,2188.72,2211.37,354913.10,3386720.67
2012-08-31,2205.57,2218.87,2203.12,2204.87,259649.87,2334089.01
2012-09-03,2201.12,2236.56,2197.71,2228.37,385485.93,3529917.64
2012-09-04,2231.72,2234.88,2199.51,2204.41,348526.87,3322020.45
2012-09-05,2199.74,2209.54,2186.96,2199.88,347518.23,3044516.86
2012-09-06,2204.44,2218.68,2199.86,2217.82,316958.85,2687331.53
2012-09-07,2233.91,2341.52,2233.91,2317.18,945297.61,8430225.00
2012-09-10,2320.56,2334.50,2313.57,2326.67,653305.55,6325203.76
2012-09-11,2316.53,2316.53,2294.82,2311.89,462607.21,4338976.77
2012-09-12,2325.93,2337.20,2298.30,2320.07,496225.18,4648517.63
2012-09-13,2316.68,2325.53,2298.37,2298.46,420498.48,3802399.95
2012-09-14,2324.01,2332.42,2298.83,2315.54,615718.14,5543861.45
2012-09-17,2312.05,2314.99,2258.18,2258.71,489847.35,4375316.89
2012-09-18,2249.43,2253.14,2228.04,2235.24,332286.95,3017149.64
2012-09-19,2237.22,2249.24,2229.49,2246.24,343497.06,3260701.08
2012-09-20,2236.19,2236.19,2194.22,2195.95,425457.79,3838585.65
2012-09-21,2190.33,2217.47,2186.53,2199.06,381205.94,3404336.74
2012-09-24,2183.97,2225.80,2172.88,2215.52,375016.86,3360876.13
2012-09-25,2209.98,2225.33,2202.38,2210.15,278770.20,2667706.37
2012-09-26,2208.91,2216.82,2181.08,2184.89,274546.25,2491891.71
2012-09-27,2186.00,2266.30,2185.77,2251.72,530168.99,4821057.95
2012-09-28,2235.06,2297.03,2234.32,2293.11,578758.25,5443146.55
2012-10-08,2291.96,2305.18,2258.11,2270.05,355344.23,3391584.05
2012-10-09,2281.75,2327.73,2281.75,2320.16,525488.84,4833019.49
2012-10-10,2314.59,2325.75,2304.61,2324.12,426862.39,3787399.58
2012-10-11,2315.90,2321.35,2300.93,2302.53,413006.54,3617296.38
2012-10-12,2311.28,2332.15,2287.01,2304.53,368741.45,3320590.34
2012-10-15,2306.01,2307.88,2278.46,2294.86,286517.45,2856902.25
2012-10-16,2293.24,2315.45,2287.59,2298.16,320596.79,3270514.07
2012-10-17,2307.36,2312.17,2280.82,2300.80,333494.09,3127089.97
2012-10-18,2307.49,2341.12,2305.88,2336.08,506151.01,4505029.43
2012-10-19,2335.11,2342.53,2328.73,2332.47,359277.31,3317303.09
2012-10-22,2320.47,2347.90,2315.90,2341.59,343682.87,3281527.40
2012-10-23,2340.89,2344.04,2309.25,2312.08,372212.71,3371687.73
